"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"1019","MERCEDES","C 250","CONVERTIBLE 2PTAS 2.0L 4CIL 211HP TURBO AUT",2018,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.2,17.54,15.53,11.65,200,10,7,"9"
"1020","BMW","328iA","SEDAN 4PTS 2.0L 4CIL 245HP AUT TURBO",2012,"AUT","Gasolina",4,245,2,"AUTOS DE LUJO",12.19,19.23,15.99,11.99,194,12,7,"9"
"1021","BMW","328iA","SEDAN 4PTS 2.0L 4CIL 245HP AUT TURBO",2013,"AUT","Gasolina",4,245,2,"AUTOS DE LUJO",12.19,19.23,15.99,11.99,194,12,7,"9"
"1022","CADILLAC","ATS","COUPE 2PTAS 2L 4CIL 272HP AUT",2018,"AUT","Gasolina",4,272,2,"AUTOS DE LUJO",12.16,18.66,14.42,10.82,216,5,6,"9"
"1023","CADILLAC","ATS","SEDAN 4PTAS 2L 4CIL 272HP AUT",2018,"AUT","Gasolina",4,272,2,"AUTOS DE LUJO",12.16,18.66,14.42,10.82,216,5,6,"9"
"1024","CADILLAC","ATS","COUPE RWD 2PTS 2.0L 4CIL 272HP AUT",2016,"AUT","Gasolina",4,272,2,"AUTOS DE LUJO",12.16,18.62,14.41,10.81,216,10,6,"9"
"1025","CADILLAC","ATS","SEDAN RWD 4PTS 2.0L 4CIL 272HP AUT",2016,"AUT","Gasolina",4,272,2,"AUTOS DE LUJO",12.16,18.62,14.41,10.81,216,10,6,"9"
"1026","CADILLAC","ATS","COUPE RWD 2PTAS 2.0L 4CIL 272HP AUT TURBO",2017,"AUT","Gasolina",4,272,2,"AUTOS DE LUJO",12.16,18.62,14.41,10.81,216,10,6,"9"
"1027","CADILLAC","ATS","SEDAN RWD 4PTAS 2.0L 4CIL 272HP AUT TURBO",2017,"AUT","Gasolina",4,272,2,"AUTOS DE LUJO",12.16,18.62,14.41,10.81,216,10,6,"9"
"1028","TOYOTA","CAMRY","4PTS 2.5L 4CIL 175HP AUT",2011,"AUT","Gasolina",4,175,2.5,"AUTOS DE LUJO",12.15,19,14.5,10.88,214,56,6,"5"
"1029","MERCEDES","GLA 250","CGI SPORT 4MATIC 5PTS 2.0L 4CIL 211HP AUT TURBO",2015,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.12,18.01,15.61,11.7,199,26,7,"?"
"1030","AUDI","A5","SPORTBACK 5PTS 1.8L 4CIL 170HP MULTITRONIC FSI TURBO FRONT",2015,"MULTITRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.1,21.9,15.15,11.36,205,7,7,"9"
"1031","AUDI","A5","COUPE 2PTS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO",2015,"MULTITRONIC","Gasolina",4,225,2,"AUTOS DE LUJO",12.1,18.8,14.41,10.81,216,163,6,"2"
"1032","AUDI","A5","CABRIO 2PTS 2.0 4CIL 225 HP MULTITRONIC FSI TURBO",2015,"MULTITRONIC","Gasolina",4,225,2,"AUTOS DE LUJO",12.1,18.8,14.41,10.81,216,163,6,"2"
"1033","AUDI","A5","SPORTBACK 5PTS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO",2015,"MULTITRONIC","Gasolina",4,225,2,"AUTOS DE LUJO",12.1,18.8,14.41,10.81,216,163,6,"2"
"1034","VOLVO","S60","FWD 4PTS 2.0L 4CIL 306HP AUT TURBO",2016,"AUT","Gasolina",4,306,2,"AUTOS DE LUJO",12.1,19.3,14.54,10.91,214,10,6,"9"
"1035","VOLVO","S60","AWD 4PTAS 2.0L 4CIL 306HP AUT TURBO",2016,"AUT","Gasolina",4,306,2,"AUTOS DE LUJO",12.1,19.3,14.54,10.91,214,10,6,"9"
"1036","SUZUKI","KIZASHI","GLS 4PTS 2.4L 4CIL 185HP MAN",2011,"MAN","Gasolina",4,185,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
"1037","SUZUKI","KIZASHI","GLS 4PTS 2.4L 4CIL 180HP CVT",2011,"CVT","Gasolina",4,180,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
"1038","SUZUKI","KIZASHI","4PTS 2.4L 4CIL 185HP MAN",2012,"MAN","Gasolina",4,185,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
